Country,Code,Year,Life Ladder,Log GDP Per Capita,Social Support,Health Life Expectancy,Freedom,Generosity,Corruption,Country Code,electricity,Gross savings,Inflation,Primary completion rate,Renewable electricity,Renewable energy consumption,preprimary_education,primary_education,secondary_eductaion,undernourishment,population below poverty line ,drinking water services,Unemployment male rate,Unemployment women rate,Income Classification,Internet services,Life expectancy birth,Population,Rural population,Urban population
Bangladesh,BGD,2006,4.318909168,7.939726353,0.672002196,59.11999893,0.611664236,0.055184368,0.785916209,BGD,50.52510246,35.33850447,6.765261171,91.28074342,2.536317768,48.9280014,62.93905588,102.416153,47.52978134,13.8,4.732528736,96,2.7,6.4,Low income,1,68.213,140921154,72.483,27.517
Belarus,BLR,2006,5.657649994,9.489098549,0.917898655,60.06000137,0.707080483,-0.249204546,0.708274722,BLR,100,29.59914277,6.997129035,97.65106964,0.119455534,7.193099976,105.8730011,99.36715698,85.87845777,12.7760176,0.1,93.46857671,7.874074074,9.485264133,Lower-middle income,16.2,69.40487805,9604924,27.184,72.816
Benin,BEN,2006,3.329801559,7.843532562,0.444781214,51.95999908,0.580069304,-0.011397413,0.789862454,BEN,27.9,12.46486564,3.782176965,91.28074342,2.597402597,57.30730057,6.176040173,101.2934036,85.87845777,11,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.537854346,57.817,8216893,58.951,41.049
Bolivia,BOL,2006,5.373986244,8.670664787,0.834279954,60.90000153,0.770134747,-0.045580111,0.794484198,BOL,76.211281,26.58222909,4.282396048,91.28074342,41.86792453,21.79000092,51.69915009,113.2795715,86.1677475,24.6,16.1,84,4.5,5.7,Lower-middle income,6.200671255,65.853,9395449,35.372,64.628
Botswana,BWA,2006,4.739367008,9.494558334,0.883035779,48.84000015,0.823774636,-0.198090717,0.723239183,BWA,40.40270996,44.40703069,11.55521879,101.5586166,0,29.44140053,16.54459953,111.4676895,84.99632263,27.5,4.732528736,77,15.6,20,Upper-middle income,4.289932975,53.435,1835911,43.6,56.4
Burkina Faso,BFA,2006,3.801490784,7.327224731,0.796405017,49.43999863,0.588338017,0.029684732,0.797700584,BFA,11.76162434,6.313850455,2.333108564,32.80561829,14.62212486,84.61569977,62.93905588,62.06520844,15.04074955,17.1,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.632707564,54.063,13829173,77.661,22.339
Cambodia,KHM,2006,3.568744659,7.746443272,0.793081462,57.63999939,0.738455519,0.253480405,0.829181135,KHM,31.83140182,19.86330896,6.143255757,89.38886261,5.767599661,73.85929871,11.34934044,128.8331909,39.73841095,15.6,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.46835672,63.927,13477705,80.707,19.293
Cameroon,CMR,2006,3.851072073,8.089927673,0.689600766,47.84000015,0.653422654,-0.017281633,0.907067657,CMR,49,20.59266866,5.11757816,50.86167908,88.81707795,85.42720032,17.8521595,102.3047638,23.56108093,14.1,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,2.028744791,53.215,18223677,50.857,49.143
Chad,TCD,2006,3.434800625,7.369199753,0.724308193,47.08000183,0.306131899,0.025769988,0.961073756,TCD,5.279097557,22.29355488,8.03628898,29.59753036,0,83.71019745,62.93905588,70.92913818,16.06049919,38.4,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.581045764,48.907,10457122,78.166,21.834
Chile,CHL,2006,6.062851906,9.869904518,0.835543633,67.77999878,0.744291902,0.163423926,0.633629858,CHL,99.368108,25.37713882,3.392017337,91.28074342,55.25488069,32.90829849,81.91053772,105.4123535,93.25523376,3.1,1.5,97,7.4,11.8,Upper-middle income,34.49775117,77.865,16354507,13.158,86.842
China,CHN,2006,4.560495377,8.696139336,0.747011304,65.66000366,0.738455519,-0.002299078,0.750439852,CHN,98.48129272,48.26050056,1.649430995,91.6324234,15.59278342,16.38509941,42.55636978,100.9932785,71.32845306,6.1,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,10.52315262,73.271,1311020000,56.132,43.868
Colombia,COL,2006,6.024942875,9.277318954,0.910293102,66.31999969,0.80466181,-0.017999403,0.807830036,COL,95.85785675,19.04378993,4.292450118,110.5809708,80.60076258,29.68889999,43.66886139,122.4302368,86.28616333,11.4,4.732528736,94,8.6,15.2,Lower-middle income,15.34167454,74.5,43200901,23.577,76.423
Costa Rica,CRI,2006,7.082465172,9.606750488,0.936938047,68.55999756,0.882419884,0.054026622,0.797522187,CRI,99.147523,16.44709007,11.47059681,90.26892853,93.87144993,42.39580154,74.17323303,114.1232605,88.41921997,3.9,3.2,97,4.3,8.4,Upper-middle income,25.1,78.239,4345421,33.065,66.935
Cuba,CUB,2006,5.417868614,9.387847069,0.969595134,68,0.281457931,-0.002299078,0.750439852,CUB,96.98313141,22.29355488,5.081150938,95.89933777,3.036007044,21.97220039,107.4158478,100.3399811,95.4187088,12.7760176,4.732528736,94,1.7,2.2,Lower-middle income,11.15960131,77.864,11261241,23.773,76.227
Cyprus,CYP,2006,6.237958431,10.56758976,0.878201067,70.16000366,0.836101174,0.013915932,0.712468922,CYP,100,17.15452439,2.30468733,101.1462097,0.021496131,3.516700029,78.75881958,102.3869095,96.59815216,7.5,0,100,3.9,5.4,High income,35.83,78.764,1045508,31.875,68.125
Dominican Republic,DOM,2006,5.087967873,9.306493759,0.91889888,65.36000061,0.858241439,0.035150796,0.754729331,DOM,90.118148,23.02034207,7.572805239,85.80622101,15.38195883,18.13319969,35.20621872,103.6323624,85.87845777,16.4,4.4,93.46857671,7.874074074,9.485264133,Lower-middle income,14.84492837,71.041,9218681,31.29,68.71
Ecuador,ECU,2006,5.02419138,9.189364433,0.910188437,64.44000244,0.671074986,-0.09399841,0.900686622,ECU,96.315259,26.14311269,3.298748463,99.7706604,51.69449378,14.19229984,82.85787201,109.210762,64.27047729,22.8,8.2,93.46857671,7.874074074,9.485264133,Lower-middle income,7.2,74.319,14059379,38.093,61.907
El Salvador,SLV,2006,5.700929642,8.884818077,0.878409147,65.12000275,0.682989538,-0.05917595,0.806595683,SLV,89.201467,17.465124,4.037123594,88.98686981,57.38284704,34.76150131,57.52770996,117.6826401,67.05412292,9.4,7.1,85,8.5,3.9,Lower-middle income,5.5,70.333,6079395,37.813,62.187
Estonia,EST,2006,5.371054649,10.26864815,0.91006434,65.77999878,0.748576343,-0.267635405,0.796722651,EST,100,24.68621056,4.437620424,94.97763824,1.335799425,17.14380074,96.97216034,97.70076752,103.1119003,12.7760176,0.7,99,6.2,5.6,High income,63.51,72.69146341,1346810,31.393,68.607
Finland,FIN,2006,7.672449112,10.74531746,0.964562833,68.72000122,0.968580484,-0.008802262,0.132430181,FIN,100,28.75927022,1.566663807,96.7771225,27.29371173,31.25200081,61.76012039,98.00862885,111.455658,12.7760176,0.1,100,7.4,8.1,High income,79.66,79.21463415,5266268,16.963,83.037
France,FRA,2006,6.582700253,10.65402985,0.943929076,70.80000305,0.789120734,0.122206368,0.699270129,FRA,100,23.30633524,1.675124496,91.28074342,10.94757583,8.523799896,109.6707764,104.2788467,106.9275208,12.7760176,0,100,7.9,9.1,High income,46.87,80.81219512,63621376,22.623,77.377
Georgia,GEO,2006,3.675108433,8.993415833,0.64663595,63.29999924,0.552592635,-0.269846261,0.751933634,GEO,100,11.58856312,9.160965084,92.03656769,72.93810896,37.21590042,54.85636139,99.93818665,95.30055237,4,10.3,95,15.2,11.7,Lower-middle income,7.526876845,70.635,3880347,46.008,53.992
Ghana,GHA,2006,4.535019875,8.067016602,0.728269994,52.54000092,0.849283397,0.211543143,0.814070404,GHA,55.09345008,17.78991023,10.91516997,69.4250412,66.65480427,58.56100082,79.69702911,90.666008,41.57841873,10.6,4.732528736,70,4.5,4.8,Low income,2.723175973,59.234,22379057,52.012,47.988
Guatemala,GTM,2006,5.901429176,8.849712372,0.830441594,58.97999954,0.663381696,0.169568151,0.706095576,GTM,83.730998,14.35798049,6.560852828,73.92884064,51.95934362,64.82929993,58.64070892,111.030777,43.33914185,17.8,11.2,93.46857671,7.874074074,9.485264133,Lower-middle income,6.5,70.082,13213330,52.79,47.21
Haiti,HTI,2006,3.754156113,7.972617149,0.693800747,6.71999979,0.449474722,0.358533382,0.853506446,HTI,33.9,10.48156738,11.34521522,91.28074342,47.54385965,81.3742981,62.93905588,103.8314319,85.87845777,54.2,4.732528736,93.46857671,7.874074074,9.485264133,Low income,6.796000481,59.028,9344784,56.396,43.604
Honduras,HND,2006,5.396519661,8.448007584,0.932676792,63.09999847,0.650253594,0.087854728,0.843539059,HND,71.266448,25.08063359,5.577752077,81.94036865,36.92821369,52.4742012,32.6925087,104.6900864,58.28580093,21.8,23,89,3.1,4.4,Lower-middle income,7.8,72.285,7634295,50.755,49.245
Hong Kong,HKG,2006,5.511187077,10.74639988,0.812177718,63.08116208,0.90982008,0.151303262,0.355984807,HKG,100,34.97761553,2.01411015,91.28074342,0.002589533,0.129700005,62.93905588,103.8314319,82.74578857,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,High income,60.8,82.37560976,6857100,0,100
India,IND,2006,5.348258972,8.141137123,0.707318068,55.86000061,0.773737073,-0.002299078,0.854811728,IND,67.9,36.36053211,5.796523376,91.28074342,17.54042472,46.0632019,62.93905588,103.8314319,54.88293839,19.6,4.732528736,93.46857671,7.874074074,9.485264133,Low income,2.805499865,64.918,1165486291,70.431,29.569
Indonesia,IDN,2006,4.946978092,8.839255333,0.770950854,60.31999969,0.713171124,0.345576108,0.915120065,IDN,90.62,25.77714359,13.1086721,92.56089783,12.2587772,40.06539917,34.66635132,106.2683792,62.64102936,19,23.9,93.46857671,7.874074074,9.485264133,Lower-middle income,4.764813134,67.717,229318262,53.262,46.738
Ireland,IRL,2006,7.144246578,10.98210621,0.967041135,69.62000275,0.943274736,0.236722007,0.472848564,IRL,100,27.39980376,3.931639895,91.28074342,9.127452427,3.18569994,62.93905588,102.9992371,109.6034393,12.7760176,0.4,97,4.6,4.2,High income,54.82,79.24146341,4273591,39.262,60.738
Israel,ISR,2006,7.173417091,10.35924149,0.927078903,71.08000183,0.816652834,-0.002299078,0.905374765,ISR,100,25.15315728,2.060803918,103.9482498,0.049448159,6.857299805,93.02558899,103.8044662,106.1162415,12.7760176,4.732528736,100,10.4,11,High income,27.88107446,80.55365854,7053700,8.42,91.58
Jamaica,JAM,2006,6.207881927,9.249233246,0.909083962,66.59999847,0.73823607,-0.008541069,0.94598788,JAM,88.87075806,17.44214706,8.561064087,91.28074342,3.947544494,4.821400166,62.93905588,103.8314319,85.87845777,7.7,4.732528736,93,7,14.5,Lower-middle income,16.4,74.143,2754414,47.002,52.998
Kazakhstan,KAZ,2006,5.475948334,9.804372787,0.87208885,58,0.730545938,-0.277468532,0.864982486,KAZ,99.76654765,31.06407567,8.721693861,101.8485794,10.84053198,2.126600027,33.96049881,101.4763565,99.94946289,6.3,0.5,92,7.874074074,9.485264133,Upper-middle income,3.268369051,66.15,15308085,43.464,56.536
Kenya,KEN,2006,4.223234177,8.16432476,0.908798158,51.41999817,0.615886152,-0.031125981,0.86025697,KEN,26.55305481,16.06123804,14.45373421,91.28074342,70.34087289,79.8266983,46.01324844,96.34754181,48.77145004,26.1,4.732528736,52,9.8,10.1,Low income,3.6,56.093,37649039,77.955,22.045
Kuwait,KWT,2006,6.075547218,11.23256493,0.918950438,68.40000153,0.769072413,-0.240763038,0.32815811,KWT,100,66.88410951,3.057013392,91.28074342,0,0,77.56188202,102.3398666,104.9908524,12.7760176,4.732528736,100,0.8,2.9,High income,28.79119795,73.66,2373661,0,100
Kyrgyzstan,KGZ,2006,4.641398907,8.185375214,0.844136536,59.91999817,0.677571654,-0.142216817,0.878633499,KGZ,98.89,10.92974694,5.552123332,101.5139771,85.8775735,27.76199913,14.90526962,100.1320419,86.48522949,9.7,7.3,83,7.7,9,Low income,12.306907,67.69512195,5218400,64.711,35.289
Laos,LAO,2006,5.076225758,8.233675003,0.806987047,55.88000107,0.925082147,0.438292474,0.687814236,LAO,57.0410587,22.56832536,6.545594391,73.94615173,100,69.80509949,10.22953987,114.4925613,42.81393814,20.6,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.169893428,62.182,5846075,72.252,27.748
Latvia,LVA,2006,4.70950222,10.04218674,0.884498775,63.09999847,0.640807152,-0.233599529,0.937048614,LVA,100,19.34438434,6.536199088,102.6938782,56.96176651,34.00099945,83.45658112,104.2619934,103.9654007,12.7760176,1.5,98,7.3,6.7,Upper-middle income,53.63,70.86585366,2218357,32.033,67.967
Lebanon,LBN,2006,4.653103828,9.571557045,0.853151023,65.16000366,0.670193553,0.065851532,0.901959538,LBN,99.38381709,10.28383706,5.081150938,91.28074342,6.024096386,7.041100025,62.93905588,103.8314319,85.87845777,10.5,4.732528736,93.46857671,7.874074074,9.485264133,Upper-middle income,15,77.26,4759760,13.238,86.762
Lithuania,LTU,2006,5.954442978,10.04229259,0.930439949,63.5,0.567254603,-0.298515499,0.966878653,LTU,100,16.55147258,3.739120041,102.3819885,3.601887886,17.46419907,71.22511292,102.0287476,107.0048523,12.7760176,1.5,92,6,5.6,Upper-middle income,43.9,71.05609756,3269909,33.294,66.706
Madagascar,MDG,2006,3.979751348,7.351137161,0.711134732,54.13999939,0.738455519,-0.038257848,0.750439852,MDG,15.64221954,14.96567186,10.76563716,57.07947922,54.35330469,86.02649689,8.102290154,138.4058075,24.25756073,31,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.607552239,61.65,18880265,70.575,29.425
Malawi,MWI,2006,3.829868078,7.017002583,0.553878903,45.36000061,0.76714164,0.17483063,0.676439166,MWI,3.653227333,22.29355488,13.97429435,59.8608017,85.74679224,82.80039978,62.93905588,129.7727356,30.01561928,20.8,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.42513749,49.118,12973693,84.856,15.144
Malaysia,MYS,2006,6.011716843,9.827419281,0.865899801,65.08000183,0.836765766,0.198498324,0.739797235,MYS,83.26198851,38.79645694,3.609235642,99.90332794,7.172436825,3.127899885,57.18682098,98.69442749,79.73001862,3.4,0.6,97,7.874074074,9.485264133,Upper-middle income,51.63798899,73.744,26201954,32.517,67.483
Mali,MLI,2006,4.014075756,7.561395168,0.761116147,49.93999863,0.555075645,-0.071135223,0.761045754,MLI,16.6,18.05067636,1.543525969,47.31689072,48.76219055,81.64569855,2.968719959,76.76000977,27.7074604,11.9,52.1,93.46857671,7.874074074,9.485264133,Low income,0.729627281,52.839,13203378,67.168,32.832
Moldova,MDA,2006,5.102071285,8.935538292,0.812182605,59.47999954,0.554478109,-0.166970164,0.926055431,MDA,100,21.77668458,12.77775578,98.03025818,6.188443861,4.98059988,70.72471619,96.65267181,89.32212067,12.7760176,2.4,85,8.9,5.8,Lower-middle income,19.62064771,68.022,2880095,57.256,42.744
Mozambique,MOZ,2006,4.594879627,6.791730404,0.878794909,44.81999969,0.684149206,0.038969543,0.757999182,MOZ,13.16286087,10.41908802,13.24508791,41.26380157,99.86428717,92.97540283,62.93905588,102.4307327,15.72593021,32.4,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.842954488,50.641,21080108,69.818,30.182
Nepal,NPL,2006,4.566594601,7.734345436,0.873681068,59.65999985,0.689295828,-0.002299078,0.897136629,NPL,51.2,29.50425285,6.920335807,77.01020813,99.52692868,91.25469971,62.93905588,127.2197418,45.33156967,15.9,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.141389164,65.773,26066687,84.538,15.462
New Zealand,NZL,2006,7.305014133,10.54080963,0.946047485,69.72000122,0.932080269,0.306319982,0.224220231,NZL,100,17.00836332,3.365401962,91.28074342,64.47869364,29.54229927,62.93905588,100.180191,118.4310608,12.7760176,4.732528736,100,3.6,4.2,High income,69,80.04878049,4184600,13.6,86.4
Nicaragua,NIC,2006,4.460158348,8.395245552,0.877170146,64.30000305,0.745456338,0.007597657,0.844391346,NIC,76.03946686,15.12204912,9.140199668,79.80110931,30.05743459,53.61980057,53.91379166,123.8070068,69.01776886,22.2,4.732528736,81,5.5,5,Lower-middle income,2.805573063,71.436,5513757,43.868,56.132
Niger,NER,2006,3.736951828,6.872498035,0.677165508,50.13999939,0.750336349,0.076448418,0.754975379,NER,9.3,20.66558272,0.04048583,32.20075989,0.917431193,87.42690277,1.688740015,48.98725891,11.04808998,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.294033977,54.18,14143969,83.762,16.238
Nigeria,NGA,2006,4.709745884,8.313640594,0.73517859,50.22000122,0.649139762,0.083538376,0.870748997,NGA,47.78861618,49.9029502,8.22522152,91.13503265,27.10082215,85.96640015,62.93905588,102.1081314,34.45698166,6.7,4.732528736,93.46857671,7.874074074,9.485264133,Low income,5.545036083,48.812,142538305,60.057,39.943
Norway,NOR,2006,7.415682316,11.04845715,0.958511293,69.40000153,0.959532738,0.102744296,0.397150129,NOR,100,40.32884712,2.329349808,97.57623291,99.31613074,57.05580139,89.65683746,98.59500885,113.9446487,12.7760176,0.1,100,3.5,3.3,High income,82.55,80.34390244,4660677,22.05,77.95
Panama,PAN,2006,6.127988338,9.770547867,0.950980365,66.86000061,0.882047236,-0.051021133,0.911755919,PAN,85.21173096,19.84733894,2.457893464,90.40280151,60.17699115,22.09189987,65.44386292,107.4427567,67.73319244,18.5,10.5,91,7.2,12.4,Upper-middle income,17.34956617,76.06,3391673,36.024,63.976
Paraguay,PRY,2006,4.730082035,9.153956413,0.895427763,64.87999725,0.691021681,0.05841906,0.840989172,PRY,96.749045,23.14050579,9.589349411,93.23162079,100,67.23010254,35.54745102,108.182518,65.54087067,9.7,7.6,85,4.4,6.7,Lower-middle income,7.962073884,71.862,5913212,42.04,57.96
